Date,Subject,Message
10/29/2021,"BKLYN, D Train, Some Reroutes",Some southbound D trains are running on the express track from 62 St to Bay 50 St while we work to correct a signal malfunction at Bay Pkwy. Expect delays in southbound D service.
10/29/2021,"MANH, A and D Trains, Delays",Expect longer wait times for southbound A D service after we moved a train with a door malfunction at 59 St-Columbus Circle.
10/29/2021,"MANH, A Train, Delays",Southbound A trains are delayed while we remove a train with door malfunction from service at W 4 St-Wash Sq.
10/29/2021,S Line (Rockaway Park) - Weekday Planned Service Change,"Nov 2 - 5, Tue to Fri, 9:30 AM to 3:45 PM A trains will replace Rockaway Park Shuttle between Broad Channel and Rockaway Park because of track maintenance. Rockaway Park Shuttle will not run. A service will make all stops between Broad Channel and Rockaway Park, every 20 minutes."
10/29/2021,Q Line - Weekday Planned Service Change,"Nov 2 - 5, Tue to Fri, 9:45 AM to 3 PM Free shuttle buses will replace Q trains between Stillwell Av and Brighton Beach because of track maintenance. Q trains will run between Brighton Beach and 96 St. To/from Stillwell Av, use the F or N. Free shuttle buses will run between Stillwell Av and Brighton Beach. Transfer between trains and buses at Brighton Beach. This service change affects one or more ADA accessible stations. These travel alternatives may not be fully accessible. Please contact 511 to plan your trip. For more information, click on the mta.info link in this email and read station signs."
10/29/2021,F Line - Weekday Planned Service Changes,"Nov 1 - 5, Mon to Fri, 9:45 AM to 3 PM Coney Island-bound F trains will skip 4 Av-9 St, 15 St-Prospect Park, Fort Hamilton Pkwy, Ditmas Av, Avenue I, Bay Pkwy, Avenue N, and Avenue P because of signal maintenance."
10/29/2021,D Line - Weeknight and Ongoing Planned Service Changes,"Nov 1 - 5, Mon to Fri, 10 PM to 5 AM Uptown D trains will stop at 135 St because of track maintenance. Nov 5, Friday, 12:01 AM to 5 AM Downtown D trains will stop at 23 St and 14 St because of accessibility improvements. Ongoing, until January 2022 D trains will not run between Bay 50 St and Coney Island-Stillwell Av because of flood protection. F/N trains will continue to serve Stillwell Av. D trains will run between 205 St and Bay 50 St. For Stillwell Av, transfer between D and N at 36 St or 62 St-New Utrecht Av. Free shuttle buses will run between Bay 50 St and Stillwell Av. Transfer between buses and D trains at Bay 50 St. As a reminder, Bay 50 St D station is not accessible. Accessible transfers can be made to/from the N at 62 St-New Utrecht Av. For local travel, the Bay Pkwy D station is the nearest accessible option. Transfer to/from the B82 bus at Bay Pkwy."
10/29/2021,B Line - Weekday Planned Service Change,"Nov 2 - 5, Tue to Fri, 9:45 AM to 3 PM No B trains between Kings Hwy and Brighton Beach because of track maintenance. Take the Q. B trains will run between Kings Hwy and 145 St. Q trains will run between Brighton Beach and 96 St. Transfer between trains at Kings Hwy."
10/29/2021,A Line - Weekday and Ongoing Planned Service Changes,"Nov 1 - 5, Mon to Fri, 9:45 PM to 5 AM A trains will run express between 59 St-Columbus Circle and 125 St because of FASTRACK. Free shuttle buses will run between 96 St 1/2/3 station and 125 St A/C/D station, serving 96 St, 103 St, 110 St, and 116 St C stations. For service to/from 72 St, 81 St, 86 St, and 96 St, use the 1/2 at nearby stations via transfer at 59 St-Columbus Circle 1/ 2, or 168 St 1. For service to/from 103 St, 110 St and 116 St, take free shuttle buses and/or 1 trains at nearby stations. Transfer at 96 St 1/2/Bus or 125 St A/C/D/Bus. Nov 2 - 5, Tue to Fri, 9:30 AM to 3:45 PM Free shuttle buses will replace A trains between Beach 67 St and Far Rockaway because of track maintenance. A will run between 207 St and Broad Channel, and via the S to/from Rockaway Park-Beach 116 St, every 20 minutes, replacing the Rockaway Park Shuttle. Free shuttle buses will run between Beach 90 St and Far Rockaway. Transfer between A trains and buses at Beach 90 St. These service changes affect one or more ADA accessible stations. These travel alternatives may not be fully accessible. Please contact 511 to plan your trip. For more information, click on the mta.info link in this email and read station signs. Nov 1 - 4, Mon to Thu, beginning 10 PM A trains will stop at 50 St, 23 St, and Spring St in both directions because of signal modernization. Nov 1 - 4, Mon to Thu, beginning 10 PM Uptown A trains will stop at 135 St, 155 St, and 163 St because of track maintenance. Ongoing, Mon to Fri, 9 AM to 5:15 PM, until Nov 5, 2021 Downtown A trains will stop at 163 St and 155 St because of flood protection."
10/29/2021,7 Line - Weeknight and Weekday Planned Service Changes,"NIGHTS Nov 1 - 5, Mon to Fri, 11:45 PM to 5 AM Free shuttle buses and E, F, N, S trains will replace the 7 between 34 St-Hudson Yards and Queensboro Plaza because of track replacement. 7 service will run between Main St and Queensboro Plaza. Use the E, F, or N for service between Manhattan and Queens. Use the 4/6 for service to/from Grand Central. Free shuttle buses will run between Times Sq-42 St and 34 St-Hudson Yards. 42 St shuttle will run overnight. Free shuttle buses will also run between Queensboro Plaza and Vernon Blvd-Jackson Av. Transfer at Queensboro Plaza 7/N/shuttle bus, 74 St-Roosevelt Av 7/E/F, 59 St/Lexington Av 4/6/N, Lexington Av/53 St 6/E, 34 St-Herald Sq F/N, or Times Sq-42 St N/S/shuttle bus. This service change affects one or more ADA accessible stations. These travel alternatives may not be fully accessible. Please contact 511 to plan your trip. For more information, click on the mta.info link in this email and read station signs. DAYS Nov 2 - 5, Tue to Fri, 10:15 AM to 3 PM Hudson Yards-bound 7 service will skip 69 St, 52 St, 46 St, 40 St, and 33 St because of track maintenance."
10/29/2021,6 Line - Weeknight and Weekday Planned Service Changes,"NIGHTS Nov 2 - 3, Tue 11:45 PM to Wed 5 AM Nov 4 - 5, Thu 11:45 PM to Fri 5 AM Downtown 6 service will run express from Grand Central-42 St to Brooklyn Bridge because of signal maintenance. This service change affects one or more ADA accessible stations. Travel alternatives may not be fully accessible. Please contact 511 to plan your trip. For more information, click on the mta.info link in this email and read station signs. Nov 1 - 2, Mon 11:45 PM to Tue 5 AM Nov 3 - 4, Wed 11:45 PM to Thu 5 AM Manhattan-bound 6 service will skip Longwood Av, E 149 St, E 143 St, Cypress Av, and Brook Av because of signal maintenance. Nov 2 - 5, Tue to Fri, 12:01 AM to 5 AM 6 service will run in two sections because of signal maintenance: 1. Between Pelham Bay Park and 125 St. 2. Between 125 St and Brooklyn Bridge. Transfer at 125 St to continue your trip. DAYS Nov 2 - 5, Tue to Fri, 10 AM to 1 PM Downtown 6 express service will run local from Parkchester to 3 Av-138 St because of track replacement. Nov 2 - 5, Tue to Fri, 1 PM to 3:30 PM Uptown 6 express service will run local from 3 Av-138 St to Parkchester because of track replacement. Nov 2 - 5, Tue to Fri, 10 AM to 3:30 PM The last stop for some trains headed toward Pelham Bay Park will be 3 Av-138 St because of track replacement. Transfer at 3 Av-138 St to continue your trip. This service change affects one or more ADA accessible stations. Travel alternatives may not be fully accessible. Please contact 511 to plan your trip. For more information, click on the mta.info link in this email and read station signs."
10/29/2021,4 Line - Weeknight and Ongoing Planned Service Changes,"NIGHTS Nov 2 - 3, Tue 11:45 PM to Wed 5 AM Nov 4 - 5, Thu 11:45 PM to Fri 5 AM Downtown 4 service will run express from Grand Central-42 St to Brooklyn Bridge because of signal maintenance. This service change affects one or more ADA accessible stations. Travel alternatives may not be fully accessible. Please contact 511 to plan your trip. For more information, click on the mta.info link in this email and read station signs. Nov 2 & 4, Tue and Thu, beginning 12:01 AM Downtown 4 service will make local stops from Grand Central-42 St to Brooklyn Bridge because of signal maintenance. Nov 2 & 4, Tue and Thu, beginning 12:01 AM Uptown 4 service will make local stops from Grand Central-42 St to 125 St because of signal maintenance. Ongoing, Mon to Fri, until Tuesday, Nov 30, 2021 Rush hour 4 service will stop at 138 St-Grand Concourse in both directions because of accessibility improvements."
10/28/2021,"MANH, D Train, Trains Rerouted","Northbound D trains are running along the A line from W 4 St-Wash Sq to 59 St-Columbus Circle while our crews perform switch maintenance near 42 St-Bryant Pk. For service to/from bypassed stations, take a southbound train."
10/28/2021,"MANH, N and Q Trains, Stations Skipped","Southbound N and Q trains are bypassing 49 St while we perform track maintenance at Times Sq-42 St. For service to/from 49 St, take a northbound train."
10/27/2021,"MANH, 1 Train, Delays",You may wait longer for a 1 train after our maintenance teams fixed a switch problem at South Ferry.
10/27/2021,N Line - Weekend Planned Service Change,"Oct 30 - 31, Sat and Sun, 5:45 AM to 8 PM No N trains between Stillwell Av and 86 St because of track maintenance. Take free shuttle buses. N trains will run between 86 St and Ditmars Blvd. Transfer between shuttle buses and N trains at 86 St. This service change affects one or more ADA accessible stations. These travel alternatives may not be fully accessible. Please contact 511 to plan your trip. For more information, click on the mta.info link in this email and read station signs."
10/27/2021,D Line - Weekend and Ongoing Planned Service Changes,"Oct 29 - Nov 1, Fri 9:45 PM to Mon 5 AM No D trains between 205 St and Bedford Pk Blvd because of track maintenance. Take free shuttle buses. D trains will run between Bedford Pk Blvd and Bay 50 St. Transfer between shuttle buses and D trains at Bedford Pk Blvd. Oct 29 - Nov 1, Fri 10 PM to Mon 5 AM Uptown D trains will stop at 135 St because of track maintenance. Until January 2022 D trains will not run between Bay 50 St and Coney Island-Stillwell Av because of flood protection. F/Q trains will continue to serve Stillwell Av. D trains will run between 205 St and Bay 50 St. Free shuttle buses will run between Bay 50 St and Stillwell Av. Transfer between buses and D trains at Bay 50 St. As a reminder, Bay 50 St D station is not accessible. For local travel, the Bay Pkwy D station is the nearest accessible option. Transfer to/from the B82 bus at Bay Pkwy. Note: On Sat and Sun, from 5:45 AM to 8 PM, N trains will run to/from 86 St, with free shuttle buses running between 86 St and Stillwell Av."
